#1:iter	2:compliance	3:duration	4:volume	5:physical_volume	6:physical_greyness	7:nObj
0 	0.000404281 	29.734 	0.5 	0.125 	0.4375 	1
1 	0.000404287 	16.002 	0.499997 	0.124998 	0.437493 	2
2 	0.00399293 	15.507 	0.199989 	0.0079994 	0.0317416 	3
3 	0.00399182 	16.1 	0.199989 	0.0079994 	0.0317416 	4
4 	0.00389458 	14.593 	0.199994 	0.00800006 	0.0317441 	5
5 	0.00301038 	15.832 	0.199995 	0.0080124 	0.0317909 	6
6 	0.00202649 	15.651 	0.199995 	0.00810022 	0.032113 	7
7 	0.00132555 	14.699 	0.199995 	0.00834418 	0.0329467 	8
8 	0.000811092 	14.393 	0.199995 	0.00894914 	0.034782 	9
9 	0.000522112 	14.897 	0.199996 	0.0100448 	0.0373276 	10
10 	0.000423554 	14.728 	0.199996 	0.0108657 	0.038645 	11
11 	0.000319638 	14.816 	0.199996 	0.012433 	0.0398723 	12
12 	0.000282514 	15.21 	0.199996 	0.0133327 	0.0400785 	13
13 	0.000243873 	15.674 	0.199996 	0.0146165 	0.0400387 	14
14 	0.000227757 	15.783 	0.199996 	0.0152975 	0.0400691 	15
15 	0.000269858 	15.074 	0.199997 	0.0137384 	0.0400797 	16
16 	0.0002509 	15.162 	0.199997 	0.0143087 	0.0408146 	17
17 	0.000234471 	14.575 	0.199997 	0.0149094 	0.0415041 	18
18 	0.000220666 	14.516 	0.199996 	0.0155365 	0.0422172 	19
19 	0.000206359 	14.516 	0.199997 	0.0163033 	0.0425532 	20
20 	0.00019499 	14.471 	0.199997 	0.017024 	0.0427163 	21
21 	0.000184026 	14.555 	0.199997 	0.0178441 	0.0428189 	22
22 	0.000175948 	14.441 	0.199997 	0.0185423 	0.0428721 	23
23 	0.000168204 	14.433 	0.199997 	0.0193127 	0.0429458 	24
24 	0.000158116 	14.654 	0.199997 	0.0205188 	0.0429505 	25
25 	0.000151957 	14.496 	0.199997 	0.0213743 	0.0427615 	26
26 	0.000142563 	14.443 	0.199997 	0.0229455 	0.042305 	27
27 	0.000136557 	14.368 	0.199997 	0.0241166 	0.0419941 	28
28 	0.000131774 	14.573 	0.199997 	0.0251714 	0.0414713 	29
29 	0.0001277 	14.431 	0.199997 	0.0261806 	0.0409899 	30
30 	0.000123978 	14.345 	0.199997 	0.0272417 	0.0406278 	31
31 	0.000119232 	14.928 	0.199997 	0.0288925 	0.0399731 	32
